CCHE1D_Channel,Reach_ID,Contributing_Cell_ID_Source,Contributing_Cell_ID_Right,Contributing_Cell_ID_Left,Upstream_Reach_ID_1,Upstream_Reach_ID_2,y_US,x_US,y_DS,x_DS
646,167,0,1672,1673,181.0,168.0,3795203.6207244,235692.11401283,3795100.6207244,235645.11401283
526,287,0,2872,2873,499.0,288.0,3795110.6207244,236721.11401283,3795196.6207244,236653.11401283
507,306,0,3062,3063,430.0,307.0,3795195.6207244,237459.11401283,3795183.6207244,237446.11401283
483,430,4301,4302,4303,,,3795104.6207244,237591.11401283,3795195.6207244,237460.11401283
411,502,5021,5022,5023,,,3795163.6207244,236579.11401283,3795189.6207244,236588.11401283
412,501,5011,5012,5013,,,3794718.6207244,236606.11401283,3795189.6207244,236589.11401283
511,302,0,3022,3023,306.0,303.0,3795182.6207244,237445.11401283,3795116.6207244,237425.11401283
664,149,0,1492,1493,151.0,150.0,3795165.6207244,234904.11401283,3795156.6207244,234951.11401283
648,165,1651,1652,1653,,,3795163.6207244,235586.11401283,3795079.6207244,235561.11401283
665,148,0,1482,1483,152.0,149.0,3795157.6207244,234952.11401283,3795010.6207244,235054.11401283
466,447,4471,4472,4473,,,3795157.6207244,238298.11401283,3795009.6207244,238032.11401283
516,297,2971,2972,2973,,,3795148.6207244,237269.11401283,3795099.6207244,237193.11401283
650,163,1631,1632,1633,,,3795129.6207244,235504.11401283,3795141.6207244,235529.11401283
651,162,0,1622,1623,164.0,163.0,3795140.6207244,235530.11401283,3795079.6207244,235560.11401283
414,499,4991,4992,4993,,,3795070.6207244,236661.11401283,3795109.6207244,236720.11401283
520,293,2931,2932,2933,,,3795122.6207244,237043.11401283,3795103.6207244,236958.11401283
482,431,4311,4312,4313,,,3795062.6207244,237427.11401283,3795116.6207244,237426.11401283
512,301,0,3012,3013,431.0,302.0,3795115.6207244,237425.11401283,3795002.6207244,237261.11401283
525,288,0,2882,2883,486.0,289.0,3795033.6207244,236790.11401283,3795109.6207244,236722.11401283
401,512,5121,5122,5123,,,3795104.6207244,235678.11401283,3795100.6207244,235646.11401283
522,291,0,2912,2913,293.0,292.0,3795102.6207244,236957.11401283,3795066.6207244,236944.11401283
647,166,0,1662,1663,512.0,167.0,3795099.6207244,235645.11401283,3795056.6207244,235575.11401283
