26704
CP_ID	CP_CSID	CP_POSIDX	CP_W	CP_Z	CP_RGH	CP_BLOCK
620	78	4	-10	0	0.025	1
621	78	5	10	0	0.025	1
622	78	6	13	2	0.025	1
623	78	7	35	2	0.025	1
624	78	8	43	6	0.025	1
625	79	1	-43	6	0.025	1
626	79	2	-35	2	0.025	1
627	79	3	-13	2	0.025	1
628	79	4	-10	0	0.025	1
629	79	5	10	0	0.025	1
630	79	6	13	2	0.025	1
631	79	7	35	2	0.025	1
632	79	8	43	6	0.025	1
633	80	1	-43	6	0.025	1
634	80	2	-35	2	0.025	1
635	80	3	-13	2	0.025	1
636	80	4	-10	0	0.025	1
637	80	5	10	0	0.025	1
638	80	6	13	2	0.025	1
639	80	7	35	2	0.025	1
640	80	8	43	6	0.025	1
641	81	1	-43	6	0.025	1
642	81	2	-35	2	0.025	1
643	81	3	-13	2	0.025	1
644	81	4	-10	0	0.025	1
645	81	5	10	0	0.025	1
646	81	6	13	2	0.025	1
647	81	7	35	2	0.025	1
648	81	8	43	6	0.025	1
649	82	1	-43	6	0.025	1
650	82	2	-35	2	0.025	1
651	82	3	-13	2	0.025	1
652	82	4	-10	0	0.025	1
653	82	5	10	0	0.025	1
654	82	6	13	2	0.025	1
655	82	7	35	2	0.025	1
656	82	8	43	6	0.025	1
657	83	1	-43	6	0.025	1
658	83	2	-35	2	0.025	1
659	83	3	-13	2	0.025	1
660	83	4	-10	0	0.025	1
661	83	5	10	0	0.025	1
662	83	6	13	2	0.025	1
663	83	7	35	2	0.025	1
664	83	8	43	6	0.025	1
665	84	1	-43	6	0.025	1
666	84	2	-35	2	0.025	1
667	84	3	-13	2	0.025	1
668	84	4	-10	0	0.025	1
669	84	5	10	0	0.025	1
670	84	6	13	2	0.025	1
671	84	7	35	2	0.025	1
672	84	8	43	6	0.025	1
673	85	1	-43	6	0.025	1
674	85	2	-35	2	0.025	1
675	85	3	-13	2	0.025	1
676	85	4	-10	0	0.025	1
677	85	5	10	0	0.025	1
678	85	6	13	2	0.025	1
679	85	7	35	2	0.025	1
680	85	8	43	6	0.025	1
681	86	1	-43	6	0.025	1
682	86	2	-35	2	0.025	1
683	86	3	-13	2	0.025	1
684	86	4	-10	0	0.025	1
685	86	5	10	0	0.025	1
686	86	6	13	2	0.025	1
687	86	7	35	2	0.025	1
688	86	8	43	6	0.025	1
689	87	1	-43	6	0.025	1
690	87	2	-35	2	0.025	1
691	87	3	-13	2	0.025	1
692	87	4	-10	0	0.025	1
693	87	5	10	0	0.025	1
694	87	6	13	2	0.025	1
695	87	7	35	2	0.025	1
696	87	8	43	6	0.025	1
697	88	1	-43	6	0.025	1
698	88	2	-35	2	0.025	1
699	88	3	-13	2	0.025	1
700	88	4	-10	0	0.025	1
701	88	5	10	0	0.025	1
702	88	6	13	2	0.025	1
703	88	7	35	2	0.025	1
704	88	8	43	6	0.025	1
705	89	1	-43	6	0.025	1
706	89	2	-35	2	0.025	1
707	89	3	-13	2	0.025	1
708	89	4	-10	0	0.025	1
709	89	5	10	0	0.025	1
710	89	6	13	2	0.025	1
711	89	7	35	2	0.025	1
712	89	8	43	6	0.025	1
713	90	1	-43	6	0.025	1
714	90	2	-35	2	0.025	1
715	90	3	-13	2	0.025	1
716	90	4	-10	0	0.025	1
717	90	5	10	0	0.025	1
718	90	6	13	2	0.025	1
719	90	7	35	2	0.025	1
720	90	8	43	6	0.025	1
721	91	1	-43	6	0.025	1
722	91	2	-35	2	0.025	1
723	91	3	-13	2	0.025	1
724	91	4	-10	0	0.025	1
725	91	5	10	0	0.025	1
726	91	6	13	2	0.025	1
727	91	7	35	2	0.025	1
728	91	8	43	6	0.025	1
729	92	1	-43	6	0.025	1
730	92	2	-35	2	0.025	1
731	92	3	-13	2	0.025	1
732	92	4	-10	0	0.025	1
733	92	5	10	0	0.025	1
734	92	6	13	2	0.025	1
735	92	7	35	2	0.025	1
736	92	8	43	6	0.025	1
737	93	1	-43	6	0.025	1
738	93	2	-35	2	0.025	1
739	93	3	-13	2	0.025	1
740	93	4	-10	0	0.025	1
741	93	5	10	0	0.025	1
742	93	6	13	2	0.025	1
743	93	7	35	2	0.025	1
744	93	8	43	6	0.025	1
745	94	1	-43	6	0.025	1
746	94	2	-35	2	0.025	1
747	94	3	-13	2	0.025	1
748	94	4	-10	0	0.025	1
749	94	5	10	0	0.025	1
750	94	6	13	2	0.025	1
751	94	7	35	2	0.025	1
752	94	8	43	6	0.025	1
753	95	1	-43	6	0.025	1
754	95	2	-35	2	0.025	1
755	95	3	-13	2	0.025	1
756	95	4	-10	0	0.025	1
757	95	5	10	0	0.025	1
758	95	6	13	2	0.025	1
759	95	7	35	2	0.025	1
760	95	8	43	6	0.025	1
761	96	1	-43	6	0.025	1
762	96	2	-35	2	0.025	1
763	96	3	-13	2	0.025	1
764	96	4	-10	0	0.025	1
765	96	5	10	0	0.025	1
766	96	6	13	2	0.025	1
767	96	7	35	2	0.025	1
768	96	8	43	6	0.025	1
769	97	1	-43	6	0.025	1
770	97	2	-35	2	0.025	1
771	97	3	-13	2	0.025	1
772	97	4	-10	0	0.025	1
773	97	5	10	0	0.025	1
774	97	6	13	2	0.025	1
775	97	7	35	2	0.025	1
776	97	8	43	6	0.025	1
777	98	1	-43	6	0.025	1
778	98	2	-35	2	0.025	1
779	98	3	-13	2	0.025	1
780	98	4	-10	0	0.025	1
781	98	5	10	0	0.025	1
782	98	6	13	2	0.025	1
783	98	7	35	2	0.025	1
784	98	8	43	6	0.025	1
785	99	1	-43	6	0.025	1
786	99	2	-35	2	0.025	1
787	99	3	-13	2	0.025	1
788	99	4	-10	0	0.025	1
789	99	5	10	0	0.025	1
790	99	6	13	2	0.025	1
791	99	7	35	2	0.025	1
792	99	8	43	6	0.025	1
793	100	1	-43	6	0.025	1
794	100	2	-35	2	0.025	1
795	100	3	-13	2	0.025	1
796	100	4	-10	0	0.025	1
797	100	5	10	0	0.025	1
798	100	6	13	2	0.025	1
799	100	7	35	2	0.025	1
800	100	8	43	6	0.025	1
801	101	1	-43	6	0.025	1
802	101	2	-35	2	0.025	1
803	101	3	-13	2	0.025	1
804	101	4	-10	0	0.025	1
805	101	5	10	0	0.025	1
806	101	6	13	2	0.025	1
807	101	7	35	2	0.025	1
808	101	8	43	6	0.025	1
809	102	1	-43	6	0.025	1
810	102	2	-35	2	0.025	1
811	102	3	-13	2	0.025	1
812	102	4	-10	0	0.025	1
813	102	5	10	0	0.025	1
814	102	6	13	2	0.025	1
815	102	7	35	2	0.025	1
816	102	8	43	6	0.025	1
817	103	1	-43	6	0.025	1
818	103	2	-35	2	0.025	1
819	103	3	-13	2	0.025	1
820	103	4	-10	0	0.025	1
821	103	5	10	0	0.025	1
822	103	6	13	2	0.025	1
823	103	7	35	2	0.025	1
824	103	8	43	6	0.025	1
825	104	1	-43	6	0.025	1
826	104	2	-35	2	0.025	1
827	104	3	-13	2	0.025	1
828	104	4	-10	0	0.025	1
829	104	5	10	0	0.025	1
830	104	6	13	2	0.025	1
831	104	7	35	2	0.025	1
832	104	8	43	6	0.025	1
