811
LK_ID	LK_CMPSEQ	LK_NDUSID	LK_NDDSID	LK_RCUSID	LK_RCDSID	LK_TYPE
600	600	72729	72816	600	600	1
601	601	72817	72898	601	601	1
602	602	72899	72921	602	602	1
603	603	72922	73008	603	603	1
604	604	73009	73150	604	604	1
605	605	73151	73217	605	605	1
606	606	73218	73353	606	606	1
607	607	73354	73372	607	607	1
608	608	73373	73416	608	608	1
609	609	73417	73456	609	609	1
610	610	73457	73559	610	610	1
611	611	73560	73616	611	611	1
612	612	73617	73677	612	612	1
613	613	73678	73924	613	613	1
614	614	73925	74341	614	614	1
615	615	74342	74597	615	615	1
616	616	74598	74936	616	616	1
617	617	74937	74942	617	617	1
618	618	74943	75053	618	618	1
619	619	75054	75384	619	619	1
620	620	75385	75529	620	620	1
621	621	75530	75816	621	621	1
622	622	75817	75936	622	622	1
623	623	75937	75978	623	623	1
624	624	75979	76031	624	624	1
625	625	76032	76138	625	625	1
626	626	76139	76156	626	626	1
627	627	76157	76218	627	627	1
628	628	76219	76408	628	628	1
629	629	76409	76450	629	629	1
630	630	76451	76834	630	630	1
631	631	76835	76856	631	631	1
632	632	76857	76990	632	632	1
633	633	76991	77015	633	633	1
634	634	77016	77175	634	634	1
635	635	77176	77368	635	635	1
636	636	77369	77601	636	636	1
637	637	77602	77850	637	637	1
638	638	77851	77894	638	638	1
639	639	77895	78017	639	639	1
640	640	78018	78144	640	640	1
641	641	78145	78222	641	641	1
642	642	78223	78263	642	642	1
643	643	78264	78384	643	643	1
644	644	78385	78528	644	644	1
645	645	78529	78635	645	645	1
646	646	78636	78721	646	646	1
647	647	78722	78787	647	647	1
648	648	78788	78860	648	648	1
649	649	78861	78989	649	649	1
650	650	78990	79009	650	650	1
651	651	79010	79058	651	651	1
652	652	79059	79074	652	652	1
653	653	79075	79097	653	653	1
654	654	79098	79156	654	654	1
655	655	79157	79271	655	655	1
656	656	79272	79374	656	656	1
657	657	79375	79420	657	657	1
658	658	79421	79423	658	658	1
659	659	79424	79433	659	659	1
660	660	79434	79943	660	660	1
661	661	79944	80137	661	661	1
662	662	80138	80208	662	662	1
663	663	80209	80325	663	663	1
664	664	80326	80369	664	664	1
665	665	80370	80506	665	665	1
666	666	80507	80537	666	666	1
667	667	80538	80847	667	667	1
668	668	80848	80916	668	668	1
669	669	80917	80958	669	669	1
670	670	80959	80982	670	670	1
671	671	80983	81038	671	671	1
672	672	81039	81210	672	672	1
673	673	81211	81357	673	673	1
674	674	81358	81554	674	674	1
675	675	81555	81708	675	675	1
676	676	81709	81781	676	676	1
677	677	81782	81954	677	677	1
678	678	81955	81990	678	678	1
679	679	81991	82087	679	679	1
680	680	82088	82116	680	680	1
681	681	82117	82181	681	681	1
682	682	82182	82263	682	682	1
683	683	82264	82335	683	683	1
684	684	82336	82374	684	684	1
685	685	82375	82446	685	685	1
686	686	82447	82580	686	686	1
687	687	82581	82818	687	687	1
688	688	82819	82851	688	688	1
689	689	82852	82884	689	689	1
690	690	82885	82988	690	690	1
691	691	82989	83156	691	691	1
692	692	83157	83165	692	692	1
693	693	83166	83423	693	693	1
694	694	83424	83438	694	694	1
695	695	83439	83718	695	695	1
696	696	83719	83886	696	696	1
697	697	83887	83925	697	697	1
698	698	83926	83984	698	698	1
699	699	83985	84134	699	699	1
700	700	84135	84174	700	700	1
701	701	84175	84233	701	701	1
702	702	84234	84243	702	702	1
703	703	84244	84294	703	703	1
704	704	84295	84611	704	704	1
705	705	84612	84814	705	705	1
706	706	84815	85040	706	706	1
707	707	85041	85059	707	707	1
708	708	85060	85090	708	708	1
709	709	85091	85307	709	709	1
710	710	85308	85381	710	710	1
711	711	85382	85537	711	711	1
712	712	85538	85608	712	712	1
713	713	85609	85762	713	713	1
714	714	85763	85902	714	714	1
715	715	85903	86170	715	715	1
716	716	86171	86230	716	716	1
717	717	86231	86376	717	717	1
718	718	86377	86385	718	718	1
719	719	86386	86585	719	719	1
720	720	86586	86671	720	720	1
721	721	86672	86706	721	721	1
722	722	86707	86750	722	722	1
723	723	86751	86944	723	723	1
724	724	86945	86985	724	724	1
725	725	86986	87087	725	725	1
726	726	87088	87338	726	726	1
727	727	87339	87955	727	727	1
728	728	87956	87993	728	728	1
729	729	87994	88282	729	729	1
730	730	88283	88327	730	730	1
731	731	88328	88368	731	731	1
732	732	88369	88439	732	732	1
733	733	88440	88659	733	733	1
734	734	88660	88795	734	734	1
735	735	88796	89116	735	735	1
736	736	89117	89159	736	736	1
737	737	89160	89271	737	737	1
738	738	89272	89394	738	738	1
739	739	89395	89435	739	739	1
740	740	89436	89686	740	740	1
741	741	89687	89806	741	741	1
742	742	89807	89828	742	742	1
743	743	89829	89863	743	743	1
744	744	89864	89988	744	744	1
745	745	89989	90112	745	745	1
746	746	90113	90220	746	746	1
747	747	90221	90398	747	747	1
748	748	90399	90444	748	748	1
749	749	90445	90492	749	749	1
750	750	90493	90512	750	750	1
751	751	90513	90549	751	751	1
752	752	90550	90557	752	752	1
753	753	90558	90663	753	753	1
754	754	90664	90668	754	754	1
755	755	90669	90916	755	755	1
756	756	90917	90935	756	756	1
757	757	90936	90957	757	757	1
758	758	90958	91149	758	758	1
759	759	91150	91155	759	759	1
760	760	91156	91354	760	760	1
761	761	91355	91402	761	761	1
762	762	91403	91667	762	762	1
763	763	91668	91825	763	763	1
764	764	91826	91920	764	764	1
765	765	91921	91954	765	765	1
766	766	91955	92007	766	766	1
767	767	92008	92076	767	767	1
768	768	92077	92139	768	768	1
769	769	92140	92264	769	769	1
770	770	92265	92327	770	770	1
771	771	92328	92393	771	771	1
772	772	92394	92471	772	772	1
773	773	92472	92525	773	773	1
774	774	92526	92715	774	774	1
775	775	92716	92734	775	775	1
776	776	92735	93047	776	776	1
777	777	93048	93257	777	777	1
778	778	93258	93479	778	778	1
779	779	93480	93937	779	779	1
780	780	93938	94007	780	780	1
781	781	94008	94055	781	781	1
782	782	94056	94603	782	782	1
783	783	94604	94784	783	783	1
784	784	94785	94936	784	784	1
785	785	94937	95021	785	785	1
786	786	95022	95138	786	786	1
787	787	95139	95324	787	787	1
788	788	95325	95359	788	788	1
789	789	95360	95560	789	789	1
790	790	95561	95597	790	790	1
791	791	95598	95639	791	791	1
792	792	95640	95670	792	792	1
793	793	95671	95752	793	793	1
794	794	95753	95959	794	794	1
795	795	95960	95976	795	795	1
796	796	95977	95985	796	796	1
797	797	95986	96029	797	797	1
798	798	96030	96261	798	798	1
799	799	96262	96378	799	799	1
800	800	96379	96485	800	800	1
801	801	96486	96562	801	801	1
802	802	96563	96922	802	802	1
803	803	96923	96988	803	803	1
804	804	96989	97197	804	804	1
805	805	97198	97252	805	805	1
806	806	97253	97290	806	806	1
807	807	97291	97487	807	807	1
808	808	97488	97748	808	808	1
809	809	97749	97824	809	809	1
810	810	97825	97876	810	810	1
811	811	97877	98057	811	811	1
