1739
CS_ID	CS_NPTS	CS_LOB	CS_LBT	CS_ROB	CS_RBT	CS_SVTYPE	CS_TYPE	CS_ORIGIN	CS_STATION
284	8	1	1	8	8	WZ	MC	USERSPEC	
285	8	1	1	8	8	WZ	MC	USERSPEC	
286	8	1	1	8	8	WZ	MC	USERSPEC	
287	8	1	1	8	8	WZ	MC	USERSPEC	
288	8	1	1	8	8	WZ	MC	USERSPEC	
289	8	1	1	8	8	WZ	MC	USERSPEC	
290	8	1	1	8	8	WZ	MC	USERSPEC	
291	8	1	1	8	8	WZ	MC	USERSPEC	
292	8	1	1	8	8	WZ	MC	USERSPEC	
293	8	1	1	8	8	WZ	MC	USERSPEC	
294	8	1	1	8	8	WZ	MC	USERSPEC	
295	8	1	1	8	8	WZ	MC	USERSPEC	
296	8	1	1	8	8	WZ	MC	USERSPEC	
297	8	1	1	8	8	WZ	MC	USERSPEC	
298	8	1	1	8	8	WZ	MC	USERSPEC	
299	8	1	1	8	8	WZ	MC	USERSPEC	
300	8	1	1	8	8	WZ	MC	USERSPEC	
301	8	1	1	8	8	WZ	MC	USERSPEC	
302	8	1	1	8	8	WZ	MC	USERSPEC	
303	8	1	1	8	8	WZ	MC	USERSPEC	
304	8	1	1	8	8	WZ	MC	USERSPEC	
305	8	1	1	8	8	WZ	MC	USERSPEC	
306	8	1	1	8	8	WZ	MC	USERSPEC	
307	8	1	1	8	8	WZ	MC	USERSPEC	
308	8	1	1	8	8	WZ	MC	USERSPEC	
309	8	1	1	8	8	WZ	MC	USERSPEC	
310	8	1	1	8	8	WZ	MC	USERSPEC	
311	8	1	1	8	8	WZ	MC	USERSPEC	
312	8	1	1	8	8	WZ	MC	USERSPEC	
313	8	1	1	8	8	WZ	MC	USERSPEC	
314	8	1	1	8	8	WZ	MC	USERSPEC	
315	8	1	1	8	8	WZ	MC	USERSPEC	
316	8	1	1	8	8	WZ	MC	USERSPEC	
317	8	1	1	8	8	WZ	MC	USERSPEC	
318	8	1	1	8	8	WZ	MC	USERSPEC	
319	8	1	1	8	8	WZ	MC	USERSPEC	
320	8	1	1	8	8	WZ	MC	USERSPEC	
321	8	1	1	8	8	WZ	MC	USERSPEC	
322	8	1	1	8	8	WZ	MC	USERSPEC	
323	8	1	1	8	8	WZ	MC	USERSPEC	
324	8	1	1	8	8	WZ	MC	USERSPEC	
325	8	1	1	8	8	WZ	MC	USERSPEC	
326	8	1	1	8	8	WZ	MC	USERSPEC	
327	8	1	1	8	8	WZ	MC	USERSPEC	
328	8	1	1	8	8	WZ	MC	USERSPEC	
329	8	1	1	8	8	WZ	MC	USERSPEC	
330	8	1	1	8	8	WZ	MC	USERSPEC	
331	8	1	1	8	8	WZ	MC	USERSPEC	
332	8	1	1	8	8	WZ	MC	USERSPEC	
333	8	1	1	8	8	WZ	MC	USERSPEC	
334	8	1	1	8	8	WZ	MC	USERSPEC	
335	8	1	1	8	8	WZ	MC	USERSPEC	
336	8	1	1	8	8	WZ	MC	USERSPEC	
337	8	1	1	8	8	WZ	MC	USERSPEC	
338	8	1	1	8	8	WZ	MC	USERSPEC	
339	8	1	1	8	8	WZ	MC	USERSPEC	
340	8	1	1	8	8	WZ	MC	USERSPEC	
341	8	1	1	8	8	WZ	MC	USERSPEC	
342	8	1	1	8	8	WZ	MC	USERSPEC	
343	8	1	1	8	8	WZ	MC	USERSPEC	
344	8	1	1	8	8	WZ	MC	USERSPEC	
345	8	1	1	8	8	WZ	MC	USERSPEC	
346	8	1	1	8	8	WZ	MC	USERSPEC	
347	8	1	1	8	8	WZ	MC	USERSPEC	
348	8	1	1	8	8	WZ	MC	USERSPEC	
349	8	1	1	8	8	WZ	MC	USERSPEC	
350	8	1	1	8	8	WZ	MC	USERSPEC	
351	8	1	1	8	8	WZ	MC	USERSPEC	
352	8	1	1	8	8	WZ	MC	USERSPEC	
353	8	1	1	8	8	WZ	MC	USERSPEC	
354	8	1	1	8	8	WZ	MC	USERSPEC	
355	8	1	1	8	8	WZ	MC	USERSPEC	
356	8	1	1	8	8	WZ	MC	USERSPEC	
357	8	1	1	8	8	WZ	MC	USERSPEC	
358	8	1	1	8	8	WZ	MC	USERSPEC	
359	8	1	1	8	8	WZ	MC	USERSPEC	
360	8	1	1	8	8	WZ	MC	USERSPEC	
361	8	1	1	8	8	WZ	MC	USERSPEC	
362	8	1	1	8	8	WZ	MC	USERSPEC	
363	8	1	1	8	8	WZ	MC	USERSPEC	
364	8	1	1	8	8	WZ	MC	USERSPEC	
365	8	1	1	8	8	WZ	MC	USERSPEC	
366	8	1	1	8	8	WZ	MC	USERSPEC	
367	8	1	1	8	8	WZ	MC	USERSPEC	
368	8	1	1	8	8	WZ	MC	USERSPEC	
369	8	1	1	8	8	WZ	MC	USERSPEC	
370	8	1	1	8	8	WZ	MC	USERSPEC	
371	8	1	1	8	8	WZ	MC	USERSPEC	
372	8	1	1	8	8	WZ	MC	USERSPEC	
373	8	1	1	8	8	WZ	MC	USERSPEC	
374	8	1	1	8	8	WZ	MC	USERSPEC	
375	8	1	1	8	8	WZ	MC	USERSPEC	
376	8	1	1	8	8	WZ	MC	USERSPEC	
377	8	1	1	8	8	WZ	MC	USERSPEC	
378	8	1	1	8	8	WZ	MC	USERSPEC	
379	8	1	1	8	8	WZ	MC	USERSPEC	
