Reach_ID,Upstream_End_Row,Upstream_End_Column,Downstream_End_Row,Downstream_End_Column,Receiving_Reach,Drainage_Area_[ha],Average_Elevation_[m],Reach_Length_[m],Distance_Upstream_End_to_Outlet_[m],Distance_Downstream_End_to_Outlet_[m],Reach_Slope_[m/m],Contributing_Cell_ID_Source,Contributing_Cell_ID_Right,Contributing_Cell_ID_Left
119,3747,3499,3734,3485,115,1306.01,77.54,22.56,4908.01,4885.46,0.00422,0,1192,1193,
120,3693,3787,3748,3500,119,1300.75,78.18,368.33,5276.32,4907.99,0.00218,0,1202,1203,
121,3684,3796,3692,3788,120,1287.07,78.40,13.31,5289.64,5276.32,0.00002,0,1212,1213,
122,3498,3832,3683,3796,121,22.64,81.82,205.88,5495.50,5289.62,0.01943,0,1222,1223,
123,3380,3826,3497,3832,122,18.62,82.75,137.40,5632.89,5495.50,0.00873,0,1232,1233,
124,3340,3801,3379,3826,123,15.18,83.86,50.94,5683.83,5632.89,0.00982,0,1242,1243,
125,3305,3787,3339,3800,124,1.50,84.48,42.80,5726.63,5683.83,0.01869,1251,1252,1253,
126,3064,3928,3339,3801,124,13.55,86.38,379.66,6063.46,5683.81,0.01554,0,1262,1263,
127,3030,3782,3063,3927,126,2.64,90.99,172.71,6236.17,6063.46,0.01679,1271,1272,1273,
128,2987,3915,3063,3928,126,6.81,90.06,85.46,6148.92,6063.46,0.00468,0,1282,1283,
129,2949,3880,2987,3914,128,4.12,90.94,58.36,6207.27,6148.92,0.02913,0,1292,1293,
130,2923,3803,2948,3879,129,1.81,93.58,102.15,6309.42,6207.27,0.02741,1301,1302,1303,
131,2857,3847,2948,3880,129,1.96,93.61,109.08,6316.35,6207.27,0.03117,1311,1312,1313,
132,2917,3933,2986,3914,128,1.92,92.01,82.53,6231.44,6148.92,0.04120,1321,1322,1323,
133,3350,3829,3379,3827,123,1.41,83.74,32.90,5665.79,5632.89,0.00911,1331,1332,1333,
134,3431,3946,3497,3833,122,2.81,82.60,151.17,5646.66,5495.50,0.00199,1341,1342,1343,
135,3662,3837,3685,3797,121,1264.42,78.40,52.11,5341.75,5289.63,0.00002,0,1352,1353,
136,3480,4006,3661,3838,135,1260.84,78.86,279.68,5621.40,5341.73,0.00250,0,1362,1363,
137,3400,4051,3479,4006,136,1236.75,79.19,106.40,5727.79,5621.40,0.00282,0,1372,1373,
138,3241,4076,3399,4052,137,4.45,83.09,216.31,5944.09,5727.78,0.02127,1381,1382,1383,
139,3229,4230,3400,4052,137,1231.90,79.66,292.05,6019.82,5727.77,0.00206,0,1392,1393,
140,3088,4411,3228,4231,139,872.14,81.57,252.43,6272.24,6019.81,0.01188,0,1402,1403,
141,3085,4232,3087,4411,140,7.30,85.14,193.60,6465.83,6272.23,0.01601,0,1412,1413,
142,3090,4175,3086,4231,141,2.15,86.51,62.14,6527.97,6465.82,0.01127,1421,1422,1423,
143,3064,4211,3085,4231,141,1.50,86.46,33.80,6499.62,6465.83,0.02072,1431,1432,1433,
144,3040,4445,3087,4412,140,863.71,83.00,64.43,6336.67,6272.24,0.00002,0,1442,1443,
145,2964,4418,3039,4445,144,31.38,83.20,90.60,6427.26,6336.66,0.00772,0,1452,1453,
146,2791,4056,2964,4417,145,20.17,87.47,461.22,6888.43,6427.22,0.01756,0,1462,1463,
147,2782,4022,2791,4055,146,1.62,91.92,38.56,6926.99,6888.43,0.00779,1471,1472,1473,
148,2643,3953,2790,4055,146,13.28,93.24,211.11,7099.52,6888.41,0.01184,0,1482,1483,
149,2635,3905,2644,3952,148,5.41,94.82,54.63,7154.15,7099.52,0.01647,0,1492,1493,
150,2569,3766,2635,3904,149,3.46,97.99,173.41,7327.55,7154.14,0.03748,1501,1502,1503,
151,2564,3837,2634,3905,149,1.75,96.68,114.78,7268.92,7154.14,0.03049,1511,1512,1513,
152,2428,3965,2643,3952,148,4.94,96.97,259.55,7359.06,7099.51,0.02042,1521,1522,1523,
153,2464,4077,2963,4417,145,11.04,90.72,721.87,7149.07,6427.20,0.02092,1531,1532,1533,
154,3028,4454,3039,4446,144,832.09,83.00,15.73,6352.39,6336.67,0.00002,0,1542,1543,
155,3026,4455,3027,4454,154,828.18,83.00,2.41,6354.81,6352.39,0.00002,0,1552,0,
156,2968,4488,3025,4455,155,825.41,83.00,73.91,6428.72,6354.80,0.00002,0,1562,1563,
157,2855,4524,2967,4488,156,3.07,85.50,154.10,6582.79,6428.70,0.02076,1571,1572,1573,
158,2833,4559,2967,4489,156,822.14,83.24,171.00,6599.69,6428.70,0.00233,0,1582,1583,
159,2768,4569,2832,4559,158,813.00,83.48,76.11,6675.80,6599.69,0.00131,0,1592,1593,
160,2744,4575,2767,4569,159,809.02,83.50,26.49,6702.29,6675.80,0.00002,0,1602,1603,
161,2722,4561,2743,4576,160,7.68,85.48,29.46,6731.74,6702.28,0.09840,0,1612,1613,
162,2660,4531,2721,4561,161,4.91,86.65,76.08,6807.81,6731.73,0.00526,0,1622,1623,
163,2671,4505,2659,4530,162,1.74,87.04,34.70,6842.50,6807.81,0.01440,1631,1632,1633,
164,2528,4478,2659,4531,162,2.99,88.14,180.10,6987.89,6807.80,0.02832,1641,1642,1643,
165,2637,4587,2721,4562,161,2.39,86.63,107.23,6838.95,6731.72,0.00467,1651,1652,1653,
166,2701,4646,2744,4576,160,801.28,83.60,93.50,6795.77,6702.27,0.00107,0,1662,1663,
167,2597,4693,2700,4646,166,798.34,83.84,127.12,6922.88,6795.76,0.00314,0,1672,1673,
168,2467,4650,2596,4693,167,34.27,85.24,162.58,7085.45,6922.87,0.01538,0,1682,1683,
169,2378,4499,2466,4649,168,14.05,88.03,204.07,7289.51,7085.44,0.01274,0,1692,1693,
170,2353,4371,2377,4498,169,10.66,90.22,141.18,7430.68,7289.50,0.02054,0,1702,1703,
171,2380,4326,2354,4370,170,1.89,94.98,58.53,7489.21,7430.68,0.07859,1711,1712,1713,
172,2269,4318,2353,4370,170,7.06,93.24,117.71,7548.39,7430.68,0.02634,0,1722,1723,
173,2213,4172,2268,4317,172,2.98,98.08,173.44,7721.82,7548.38,0.02998,1731,1732,1733,
174,2140,4283,2268,4318,172,2.71,97.27,164.12,7712.51,7548.38,0.02559,1741,1742,1743,
175,2329,4503,2377,4499,169,1.58,91.56,55.63,7345.13,7289.50,0.06471,1751,1752,1753,
176,2203,4613,2466,4651,168,18.18,88.80,362.99,7448.42,7085.43,0.01075,0,1762,1763,
177,2066,4403,2203,4612,176,5.97,95.36,336.61,7785.01,7448.41,0.02436,1771,1772,1773,
178,1991,4590,2202,4612,176,8.93,92.80,274.42,7722.83,7448.41,0.01858,0,1782,1783,
179,1852,4478,1990,4589,178,4.60,97.43,232.28,7955.10,7722.82,0.02066,1791,1792,1793,
180,1965,4601,1990,4590,178,1.38,95.96,34.80,7757.63,7722.83,0.03735,1801,1802,1803,
181,2490,4822,2596,4694,167,763.69,84.30,199.97,7122.83,6922.87,0.00350,0,1812,1813,
182,2473,4832,2490,4823,181,12.15,85.13,27.73,7150.56,7122.83,0.03606,0,1822,1823,
183,2056,4739,2472,4832,182,6.79,90.73,507.55,7658.08,7150.53,0.01872,1831,1832,1833,
184,2441,4877,2472,4833,182,5.32,88.01,61.77,7212.33,7150.56,0.04533,0,1842,1843,
185,2214,4876,2440,4878,184,2.60,89.47,288.53,7500.85,7212.31,0.01109,1851,1852,1853,
186,2382,4906,2441,4878,184,2.30,88.75,87.25,7299.58,7212.32,0.00688,1861,1862,1863,
187,2511,4834,2491,4823,181,750.13,84.70,25.97,7148.80,7122.83,0.00002,0,1872,1873,
188,2438,4943,2512,4835,187,743.01,85.00,168.89,7317.69,7148.79,0.00414,0,1882,1883,
189,2423,4999,2437,4943,188,734.01,85.42,66.46,7384.14,7317.68,0.00151,0,1892,1893,
190,2374,5042,2422,5000,189,221.97,85.71,70.33,7454.46,7384.14,0.00427,0,1902,1903,
191,2225,5118,2373,5042,190,218.13,86.25,185.55,7640.01,7454.45,0.00324,0,1912,1913,
192,1932,4900,2224,5119,191,16.03,90.81,426.83,8066.82,7639.99,0.01804,0,1922,1923,
193,1805,4740,1932,4899,192,3.94,97.70,230.91,8297.72,8066.81,0.02642,1931,1932,1933,
194,1561,4835,1931,4900,192,7.33,98.78,445.40,8512.21,8066.81,0.01953,1941,1942,1943,
195,2111,5207,2225,5119,191,200.49,87.54,180.62,7820.62,7640.00,0.00997,0,1952,1953,
196,2106,5207,2110,5207,195,24.04,88.20,5.00,7825.62,7820.62,0.00002,0,1962,1963,
197,1735,5096,2105,5207,196,20.44,91.08,482.90,8308.51,7825.61,0.01553,0,1972,1973,
198,1447,5006,1734,5095,197,5.00,99.79,346.39,8654.89,8308.50,0.02136,1981,1982,1983,
199,1284,5154,1734,5096,197,10.08,100.46,542.79,8851.28,8308.49,0.01787,1991,1992,1993,
200,1831,5213,2105,5208,196,3.58,92.89,358.75,8184.36,7825.61,0.02648,2001,2002,2003,
201,2083,5249,2110,5208,195,173.41,88.20,79.36,7899.97,7820.62,0.00002,0,2012,2013,
202,2020,5266,2082,5249,201,167.45,88.20,70.04,7970.01,7899.97,0.00002,0,2022,2023,
203,1943,5353,2019,5267,202,159.01,88.28,141.30,8111.31,7970.01,0.00139,0,2032,2033,
204,1895,5367,1942,5353,203,156.46,88.87,59.36,8170.66,8111.31,0.01180,0,2042,2043,
205,1847,5354,1894,5367,204,2.23,92.30,61.53,8232.18,8170.65,0.06176,2051,2052,2053,
206,1875,5386,1894,5368,204,154.07,89.10,29.63,8200.29,8170.66,0.00002,0,2062,2063,
207,1714,5438,1874,5387,206,40.58,90.23,203.79,8404.07,8200.28,0.01030,0,2072,2073,
208,1659,5364,1713,5437,207,1.70,95.81,102.64,8506.71,8404.07,0.06333,2081,2082,2083,
209,1565,5539,1713,5439,207,38.24,93.06,205.72,8609.79,8404.07,0.03792,0,2092,2093,
210,1462,5424,1564,5539,209,4.67,99.40,162.94,8772.72,8609.79,0.00798,0,2102,2103,
211,1465,5400,1462,5423,210,1.45,100.31,26.90,8799.62,8772.72,0.00369,2111,2112,2113,
212,1383,5364,1461,5423,210,2.29,101.42,120.30,8893.02,8772.72,0.02493,2121,2122,2123,
213,1475,5550,1564,5540,209,30.13,99.00,94.56,8704.34,8609.79,0.00001,0,2132,2133,
214,1193,5500,1474,5550,213,13.23,99.69,332.88,9037.21,8704.33,0.00721,0,2142,2143,
215,1071,5400,1192,5499,214,3.28,102.73,181.38,9218.59,9037.21,0.01820,2151,2152,2153,
216,1040,5515,1192,5500,214,3.09,102.73,177.44,9214.65,9037.21,0.01634,2161,2162,2163,
